title,url,price_raw_orig,price_million_final,price_billion,price_vnd_original,location,district,area_m2,snippet
"Bán CC Masteri West Heights Toà B , 29m2, 3,21 tỷ, Tây Mỗ, Nam Từ Liêm, giá tốt. Tuấn 0392 969999",https://homedy.com/ban-can-ho-imperia-smart-city/cc-masteri-west-heights-toa-b-29m2-321-ty-tay-mo-nam-tu-liem-gia-tot-tuan-0392-969999-es3157036,"3,21 Tỷ",3210.0,3.21,321.0,"Quận Nam Từ Liêm, TP Hà Nội",Quận Nam Từ Liêm,29.0,
TMC smart home dự án siêu hot tại khu vực Tây Hồ Tây. Với giá 9Xtr/m2 đã có thể sở hữu nó.,https://homedy.com/ban-can-ho-quan-bac-tu-liem-ha-noi/tmc-smart-home-du-an-sieu-hot-tai-khu-vuc-tay-voi-gia-9xtr-m2-da-co-the-so-huu-no-es3163357,"6,7 Tỷ",6700.0,6.7,67.0,"Bắc Từ Liêm, Hà Nội",Bắc Từ Liêm,64.0,
"Bán nhà mặt phố Trần Đại Nghĩa,Hai Bà Trưng–Lô góc 2 mặt thoáng, vỉa hè rộng,ô tô đỗ cửa,KD đỉnh",https://homedy.com/ban-nha-mat-pho-quan-hai-ba-trung-ha-noi/tran-dai-nghiahai-lo-goc-2-thoang-via-he-rongo-to-do-cuakd-dinh-es3163355,25 Tỷ,25000.0,25.0,25.0,"Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,2.0,
"Mở bán quỹ căn hộ""Dual Key"", sát Trung tâm Triển lãm, cách cầu Tứ Liên 700m, tặng ngay 30tr vào giá",https://homedy.com/mo-ban-quy-can-hodual-key-sat-trung-tam-trien-lam-cach-cau-tu-lien-700m-tang-ngay-30tr-vao-gia-es3163352,6 Tỷ,6000.0,6.0,6.0,"Huyện Đông Anh, Hà Nội",Huyện Đông Anh,700.0,
"Chính chủ cho thuê nhà 3 tầng mặt tiền 3,6m, ngay cạnh bệnh viện nội tiết Trung ương, giá rẻ 20tr",https://homedy.com/ban-nha-rieng-quan-dong-da-ha-noi/chinh-chu-cho-thue-3-tang-mat-tien-36m-ngay-canh-benh-vien-tiet-trung-uong-gia-re-20tr-es3154551,20 Triệu,20.0,0.02,20.0,"Quận Đống Đa, Hà Nội",Quận Đống Đa,36.0,
Siêu phẩm Tam Khương Ô tô 3 thoáng 66m 19 tỷ LH 0981553441,https://homedy.com/ban-nha-rieng-quan-dong-da-ha-noi/sieu-pham-tam-khuong-o-to-3-thoang-66m-19-ty-lh-0981553441-es3163348,19 Tỷ,19000.0,19.0,19.0,"Quận Đống Đa, Hà Nội",Quận Đống Đa,66.0,
Bán CCMN Dương Quảng Hàm MỚI - 124 m2 x 34 Phòng - Dòng tiền 160TR/ Tháng - 24 Tỷ,https://homedy.com/ban-ccmn-duong-quang-ham-moi-124-m2-x-34-phong-dong-tien-160tr-thang-24-ty-es3163342,24 Tỷ,24000.0,24.0,24.0,"Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,124.0,
"Siêu phẩm Mỹ Đình - 42m2 mt 5m, vị trí siêu vip, đủ tiện ích, an sinh đỉnh, giá 9.45 tỷ",https://homedy.com/ban-nha-rieng-quan-nam-tu-liem-ha-noi/sieu-pham-my-dinh-42m2-mt-5m-vi-tri-vip-du-tien-ich-an-sinh-gia-9-45-ty-es3163338,"9,45 Tỷ",9450.0,9.45,945.0,"Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,42.0,
Nhà đẹp trung tâm Mỹ Đình - lô góc - vừa ở vừa cho thuê - 45m2 - ngõ nông thoáng - giá chỉ 9.45 tỷ,https://homedy.com/ban-nha-rieng-quan-nam-tu-liem-ha-noi/dep-trung-tam-my-dinh-lo-goc-vua-o-cho-thue-45m2-ngo-nong-thoang-gia-chi-9-45-ty-es3163335,"9,45 Tỷ",9450.0,9.45,945.0,"Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,45.0,
"Nhà đẹp ở ngay Lê Quang Đạo - Phú Đô, Ngõ rộng thoáng, ô tô đỗ cổng, 48m2, Giá chỉ 9.25 tỷ",https://homedy.com/ban-nha-rieng-quan-nam-tu-liem-ha-noi/dep-o-ngay-le-quang-dao-phu-do-ngo-rong-thoang-to-cong-48m2-gia-chi-9-25-ty-es3163333,"9,25 Tỷ",9250.0,9.25,925.0,"Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,48.0,
Penthouse 270m2 Khai Sơn City - Long Biên ( bàn giao thô) thiết kế Duplex thông tầng Lh 0987106521,https://homedy.com/ban-can-ho-khai-son-city/penthouse-270m2-long-bien-giao-tho-thiet-ke-duplex-thong-tang-lh-0987106521-es3150875,Thỏa thuận,,,,"quận Long Biên, TP Hà Nội",quận Long Biên,270.0,
"Phú Mỹ - Lê Đức Thọ, Siêu phẩm ngõ thông, Vf3 đỗ cửa, Nhà đẹp 42m2 Giá chỉ 8.15 tỷ có thương lượng",https://homedy.com/ban-nha-rieng-quan-nam-tu-liem-ha-noi/phu-my-le-duc-tho-sieu-pham-ngo-thong-vf3-do-cua-dep-42m2-gia-chi-8-15-ty-co-thuong-luong-es3163329,"8,15 Tỷ",8150.0,8.15,815.0,"Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,42.0,
Penthouse Khai  Sơn City 270m2 Bc Đông Nam (bàn giao thô) không gian sáng tạo riêng Lh 0987106521,https://homedy.com/ban-can-ho-khai-son-city/penthouse-270m2-bc-dong-nam-giao-tho-khong-gian-sang-tao-rieng-lh-0987106521-es3150869,Thỏa thuận,,,,"quận Long Biên, TP Hà Nội",quận Long Biên,270.0,
Chủ cần tài chính bán gấp nhà Mỹ Đình - 40m2 - ngõ thoáng rộng - gần ô tô - giá chỉ 7.9 tỷ,https://homedy.com/ban-nha-rieng-quan-nam-tu-liem-ha-noi/chu-can-tai-chinh-gap-my-dinh-40m2-ngo-thoang-rong-gan-o-to-gia-chi-7-9-ty-es3163325,"7,9 Tỷ",7900.0,7.9,79.0,"Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,40.0,
"Lô đất 100m2  ful thổ cư ngay ngã tư Lục Quân, giá rẻ hơn thị trường 300TR",https://homedy.com/ban-dat-thi-xa-son-tay-ha-noi/lo-100m2-ful-tho-cu-ngay-nga-tu-luc-quan-gia-re-hon-truong-300tr-es3163326,23 Triệu,23.0,0.023,23.0,"Thị xã Sơn Tây, Hà Nội",Thị xã Sơn Tây,100.0,
"Bán nhà mặt phố Vạn Phúc, Hà Đông, Dt: 80m2, giá: 40 tỷ, 7 tầng, mt: 5m, vỉa hè 6m, cho thuê 60tr",https://homedy.com/ban-nha-mat-pho-van-phuc-ha-dong-dt-80m2-gia-40-ty-7-tang-mt-5m-via-he-6m-cho-thue-60tr-es3163305,40 Tỷ,40000.0,40.0,40.0,"Quận Hà Đông, Hà Nội",Quận Hà Đông,80.0,
