House Direction,Balcony Direction,Bedrooms,Toilets,Legits,Furnitures,Floors,Facade,Entrance,City,District,Ward,Street,Area,Price,X,Y
,,2.0,2.0,,,,,,Hà Nội,Tây Hồ,Phường Phú Thượng,Đường Lạc Long Quân,85.0,5610.0,21.0791733,105.815656
,,3.0,2.0,Sổ đỏ/ Sổ hồng.,Đầy đủ.,2.0,,,Hà Nội,Long Biên,Phường Bồ Đề,Đường Phú Viên,30.0,2000.0,21.0455068,105.8691113
,,4.0,4.0,Sổ đỏ/ Sổ hồng,Đầy đủ,4.0,,,Hà Nội,Bắc Từ Liêm,Phường Phú Diễn,Đường Phú Diễn,100.0,15900.0,21.0461067,105.762101
,,,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,Hà Nội,Cầu Giấy,Phường Dịch Vọng,Đường Trương Công Giai,52.0,11200.0,21.0329958,105.7928552
Đông - Nam,Tây - Bắc,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,Hà Nội,Thanh Xuân,Phường Thượng Đình,Đường Nguyễn Trãi,109.0,4900.0,20.9994658,105.8159609
,,3.0,2.0,Sổ đỏ/ Sổ hồng,,,,,Hà Nội,Bắc Từ Liêm,Phường Cổ Nhuế 1,Đường Phạm Văn Đồng,96.0,3800.0,21.0451915,105.7861662
Đông - Bắc,Tây - Nam,3.0,2.0,,,,,,Hà Nội,Hà Đông,Phường Mỗ Lao,,160.0,3900.0,20.9853667,105.783635
,,5.0,7.0,Sổ đỏ/ Sổ hồng,Cao cấp,7.0,5.0,10,Hà Nội,Cầu Giấy,Phường Nghĩa Đô,Đường Hoàng Quốc Việt,80.0,30000.0,21.0329958,105.7928552
,Đông - Bắc,2.0,2.0,Sổ đỏ/ Sổ hồng,Bàn giao thô,,,,Hà Nội,Đông Anh,Xã Đông Hội,Đường 5,72.9,1900.0,21.0805036,105.8730278
,,4.0,5.0,Sổ đỏ/ Sổ hồng,Nội Thất đầy đủ,6.0,6.0,6,Hà Nội,Cầu Giấy,Phường Yên Hòa,Đường Nguyễn Khang,40.0,7700.0,21.0159572,105.7937939
