House Direction,Balcony Direction,Bedrooms,Toilets,Legits,Furnitures,Floors,Facade,Entrance,City,District,Ward,Street,Area,Price,X,Y
Đông - Nam,Tây - Bắc,3.0,2.0,Sổ hồng vĩnh viễn.,"Nội thất cơ bản chủ đầu tư, gồm trần thạch cao, thiết bị vệ sinh Toto, sàn gỗ.",,,,Hà Nội,Thanh Xuân,Phường Nhân Chính,Đường Lê Văn Lương,108.0,2950.0,21.0045152,105.8012372
,,5.0,4.0,Sổ đỏ/ Sổ hồng,Cao cấp.,5.0,6.0,,Hà Nội,Cầu Giấy,Phường Quan Hoa,Đường Dương Quảng Hàm,70.0,12700.0,21.0341687,105.8006138
,,2.0,2.0,Hợp đồng mua bán,Đầy đủ,,,,Hà Nội,Hoàng Mai,Phường Đại Kim,Đường Nghiêm Xuân Yêm,54.0,1150.0,20.9729657,105.8366725
,,2.0,2.0,Sổ đỏ/ Sổ hồng,Full đồ nội thất.,,,,Hà Nội,Cầu Giấy,Phường Trung Hòa,Đường Hoàng Minh Giám,114.0,5900.0,21.0373324,105.7910892
,,4.0,3.0,,,,,,Hà Nội,Thanh Trì,Xã Tứ Hiệp,đường Tứ Hiệp,127.0,2921.0,20.9446726,105.8555904
Đông - Bắc,Đông - Bắc,,,Sổ đỏ/ Sổ hồng,,,5.2,10,Hà Nội,Tây Hồ,Phường Thụy Khuê,Đường Thụy Khuê,26.0,6900.0,21.0437217,105.8197536
Đông - Bắc,,,,,,,5.2,8,Hà Nội,Tây Hồ,Phường Thụy Khuê,Đường Thụy Khuê,26.0,6900.0,21.0437217,105.8197536
,,,,Sổ đỏ,,,8.0,6,Hà Nội,Cầu Giấy,Phường Nghĩa Đô,Đường Hoàng Quốc Việt,220.0,26000.0,21.0329958,105.7928552
Đông - Nam,Đông - Nam,1.0,1.0,Sổ đỏ/ Sổ hồng,"Giường, bình nóng lạnh, điều hòa, wifi, camera an ninh..",1.0,5.0,3,Hà Nội,Sóc Sơn,Xã Quang Tiến,Đường 131,50.0,950.0,21.2295473,105.7905055
,,,,,,,,,Hà Nội,Đông Anh,Xã Uy Nỗ,Đường Bắc Thăng Long,60.0,1800.0,21.1437054,105.8563692
,,3.0,,Sổ đỏ/ Sổ hồng,,,,,Hà Nội,Nam Từ Liêm,Phường Mỹ Đình 2,Đường Phạm Hùng,131.0,6026.0,21.0274134,105.7833341
,,5.0,5.0,,,4.0,5.5,4,Hà Nội,Nam Từ Liêm,Phường Mỹ Đình 1,Đường Hàm Nghi,57.0,7000.0,21.0205027,105.7639271
,,,,Sổ đỏ/ Sổ hồng,,7.0,8.0,,Hà Nội,Ba Đình,Phường Liễu Giai,Đường Vạn Bảo,120.0,47500.0,21.0337658,105.8130407
,,2.0,,Sổ đỏ/ Sổ hồng.,,,,,Hà Nội,Đống Đa,Phường Láng Hạ,Phố Láng Hạ,86.0,6560.9400000000005,21.0166748,105.8104708
,,5.0,6.0,Sổ đỏ/ Sổ hồng,Đầy đủ ,7.0,4.2,10,Hà Nội,Cầu Giấy,Phường Trung Hòa,Đường Hoàng Ngân,43.0,12200.0,21.0373324,105.7910892
Nam,,6.0,5.0,Sổ đỏ.,Đầy đủ,5.0,3.5,3,Hà Nội,Thanh Xuân,Phường Khương Đình,Đường Khương Đình,43.0,4250.0,20.9955213,105.8044695
,,4.0,3.0,Sổ đỏ/ Sổ hồng,,4.0,,,Hà Nội,Thanh Xuân,Phường Nhân Chính,Phố Chính Kinh,38.0,4000.0,21.0045152,105.8012372
,,4.0,,Sổ đỏ/ Sổ hồng.,,7.0,5.5,,Hà Nội,Cầu Giấy,Phường Quan Hoa,Đường Đông Quan,65.0,14000.0,21.0341687,105.8006138
,,4.0,5.0,Sổ đỏ/ Sổ hồng.,Đầy đủ.,5.0,5.0,4,Hà Nội,Long Biên,Phường Long Biên,Đường Bát Khối,50.0,3950.0,21.0099858,105.9053582
Tây - Bắc,Đông - Nam,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ.,,,,Hà Nội,Thanh Xuân,Phường Thanh Xuân Trung,Đường Nguyễn Trãi,94.0,3500.0,20.9955213,105.8044695
,,2.0,2.0,Sổ đỏ/ Sổ hồng,,,,,Hà Nội,Thanh Xuân,Phường Thanh Xuân Nam,Đường Triều Khúc,77.0,3000.0,21.0380687,105.7466523
,Đông - Bắc,3.0,2.0,Sổ đỏ/ Sổ hồng.,Đồ cơ bản.,,,,Hà Nội,Nam Từ Liêm,Phường Mỹ Đình 2,Đường Lê Đức Thọ,153.0,3800.0,21.0274134,105.7833341
Tây - Bắc,Đông - Nam,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ ,,,,Hà Nội,Thanh Xuân,Phường Khương Trung,Đường Khương Trung,90.0,2800.0,20.9892133,105.809648
,,2.0,2.0,Sổ đỏ/ Sổ hồng.,,,,,Hà Nội,Hoàng Mai,Phường Hoàng Liệt,Đường Bằng Liệt,68.0,2040.0,20.966384,105.8377568
Nam,Bắc,3.0,2.0,,,,,,Hà Nội,Tây Hồ,Phường Phú Thượng,Đường Lạc Long Quân,114.0,5000.0,21.0791733,105.815656
,,4.0,4.0,Sổ đỏ.,,5.0,3.9,2.5,Hà Nội,Long Biên,Phường Phúc Lợi,Đường Phúc Lợi,33.0,2600.0,21.0357231,105.9153081
,,,,Sổ đỏ/ Sổ hồng,,,4.3,2.5,Hà Nội,Bắc Từ Liêm,Phường Xuân Đỉnh,Đường Xuân Đỉnh,60.0,4300.0,21.069249,105.7859403
,,,,Sổ đỏ/ Sổ hồng,,,4.2,2,Hà Nội,Bắc Từ Liêm,Phường Cổ Nhuế 2,Đường Cổ Nhuế,36.0,3050.0,21.0608239,105.7781037
,,,,Sổ đỏ/ Sổ hồng,,4.0,,,Hà Nội.,Nam Từ Liêm,Phường Mỹ Đình 1,Đường Hàm Nghi,100.0,24000.0,21.0205027,105.7639271
,,,,Sổ đỏ.,,,4.6,3.5,Hà Nội,Bắc Từ Liêm,Phường Xuân Đỉnh,Đường Xuân Đỉnh,66.0,3900.0,21.069249,105.7859403
,,4.0,5.0,Sổ đỏ,,5.0,4.0,2,Hà Nội,Bắc Từ Liêm,Phường Xuân Đỉnh,Đường Xuân Đỉnh,43.0,4000.0,21.069249,105.7859403
,,6.0,6.0,Sổ đỏ/ Sổ hồng,Gỗ lim lào.,4.0,10.0,10,Hà Nội,Bắc Từ Liêm,Phường Cổ Nhuế 1,Đường Phạm Văn Đồng,200.0,50000.0,21.0451915,105.7861662
,,3.0,4.0,Sổ đỏ/ Sổ hồng,Cơ bản.,5.0,3.8,3.5,Hà Nội,Bắc Từ Liêm,Phường Xuân Đỉnh,Đường Xuân Đỉnh,35.0,4850.0,21.069249,105.7859403
,,,,Sổ đỏ/ Sổ hồng,,,5.0,3,Hà Nội,Tây Hồ,Phường Phú Thượng,Đường An Dương Vương,50.0,2800.0,21.0791733,105.815656
,,4.0,4.0,Sổ đỏ/ sổ hồng,Đầy đủ.,5.0,4.8,2,Hà Nội,Tây Hồ,Phường Bưởi,Đường Thụy Khuê,60.0,6500.0,21.0513301,105.8100703
,,4.0,5.0,Sổ đỏ/ Sổ hồng.,,4.0,,,Hà Nội,Long Biên,Phường Thạch Bàn,Đường Cổ Linh,52.0,3750.0,21.0180529,105.9016988
,,4.0,2.0,,Nội thất đầy đủ.,4.0,3.5,,Hà Nội,Cầu Giấy,Phường Quan Hoa,Đường Cầu Giấy,38.0,5200.0,21.0341687,105.8006138
,,1.0,1.0,Sổ đỏ,,1.0,6.7,2,Hà Nội.,Bắc Từ Liêm,Phường Xuân Đỉnh,,50.0,3500.0,21.069249,105.7859403
,,4.0,5.0,Sổ đỏ/ Sổ hồng,,5.0,3.5,3,Hà Nội,Bắc Từ Liêm,Phường Xuân Đỉnh,Đường Xuân Đỉnh,35.0,3900.0,21.069249,105.7859403
Đông - Bắc,Tây - Nam,2.0,1.0,Sổ đỏ.,Nội thất đẹp.,,,,Hà Nội.,Nam Từ Liêm,Phường Mễ Trì,đường Mễ Trì,60.0,2150.0,21.0100131,105.786309
,,4.0,,,,4.0,,,Hà Nội,Bắc Từ Liêm,Phường Phú Diễn,Đường Đức Diễn,38.0,4350.0,21.0461067,105.762101
,,5.0,4.0,Sổ đỏ/ sổ hồng,,4.0,3.5,2,Hà Nội,Cầu Giấy,Phường Nghĩa Đô,Đường Lạc Long Quân,46.0,5000.0,21.0329958,105.7928552
,,3.0,4.0,Sổ đỏ/ Sổ hồng,Đầy đủ.,4.0,5.5,3,Hà Nội,Cầu Giấy,Phường Nghĩa Đô,Đường Lạc Long Quân,42.0,8300.0,21.0329958,105.7928552
,,2.0,1.0,,"Nội thất bao gồm: Sàn gỗ, trần thạch cao, tủ bếp, điều hòa...",,,,Hà Nội.,Nam Từ Liêm,Thị trấn Cầu Diễn,Đường Nguyễn Cơ Thạch,65.0,2150.0,21.0283334,105.854041
,,,,Sổ đỏ/ Sổ hồng,,,5.7,2,Hà Nội,Bắc Từ Liêm,Phường Đông Ngạc,đường Đông Ngạc,58.0,3100.0,21.0799477,105.7736253
,,,,,,5.0,4.0,,Hà Nội,Hà Đông,Phường La Khê,Đường Văn Khê,50.0,8000.0,21.0283334,105.854041
,,,,,,5.0,4.0,,Hà Nội,Hà Đông,Phường Kiến Hưng,Đường Đa Sỹ,51.0,7900.0,20.9598832,105.7880872
,,,,,,4.0,5.0,,Hà Nội,Hà Đông,Phường Kiến Hưng,Đường Mậu Lương,60.0,6450.0,20.9598832,105.7880872
,,,,,,4.0,10.0,8,Hà Nội,Hà Đông,Phường La Khê,Đường Lê Trọng Tấn,100.0,16500.0,21.0283334,105.854041
Đông - Bắc,Đông - Nam,,,Đang chờ sổ,,5.0,10.5,11.5,Hà Nội,Hà Đông,Phường Yên Nghĩa,,93.5,9350.0,20.9307173,105.7331428
Tây - Nam,,4.0,4.0,,,5.0,3.4,2.5,Hà Nội,Nam Từ Liêm,Phường Phú Đô,Ngõ 8 Đường Lê Quang Đạo,36.0,3400.0,21.0023029,105.7633439
,,,,Sổ đỏ/ Sổ hồng,,,,,Hà Nội,Bắc Từ Liêm,Phường Thụy Phương,Đường Tân Phong,65.0,5000.0,21.0283334,105.854041
,,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ.,,,,Hà Nội,Bắc Từ Liêm,Phường Phú Diễn,Đường Hồ Tùng Mậu,138.0,4300.0,21.0461067,105.762101
,Đông - Nam,2.0,2.0,,Bàn giao full nội thất cao cấp: Trần thạch cao - Sàn - Thiết bị điện và vệ sinh - tủ bếp - bếp - hút mùi - khoá từ...,,,,Hà Nội,Hoàng Mai,Phường Hoàng Liệt,Đường Ngọc Hồi,71.0,2500.0,20.966384,105.8377568
,,2.0,2.0,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,,,,Hà Nội,Hà Đông,Phường Kiến Hưng,Đường Lê Xuân Điệp,70.0,1500.0,20.9598832,105.7880872
Đông - Bắc,Đông - Bắc,3.0,3.0,Sổ đỏ,"Điều hòa, Nóng lạnh...",3.0,5.0,3,Hà Nội,Hà Đông,Phường Vạn Phúc,,40.0,4800.0,20.9799295,105.774952
Đông - Bắc,Đông - Nam,8.0,10.0,Sổ đỏ/ Sổ hồng,,5.0,6.0,15,Hà Nội,Nam Từ Liêm,Thị trấn Cầu Diễn,Đường Liên Cơ,104.5,26000.0,21.0283334,105.854041
,,,,Sổ đỏ,,5.0,7.5,8,Hà Nội,Cầu Giấy,Phường Dịch Vọng Hậu,Đường Trần Thái Tông,130.0,55000.0,21.0388103,105.7818897
,,,,Sổ đỏ/ Sổ hồng,Nhập khẩu Châu Âu.,7.0,7.0,,Hà Nội,Hoàn Kiếm,Phường Phan Chu Trinh,Đường Phạm Ngũ Lão,209.0,158000.0,21.0211244,105.8591481
Tây,Tây,3.0,3.0,Sổ đỏ.,Cơ bản.,3.0,3.02,7,Hà Nội,Hoàng Mai,Phường Hoàng Văn Thụ,ngõ 319 Đường Tam Trinh,40.0,5350.0,20.9906699,105.853436
,,,,,,,,,Hà Nội,Phú Xuyên,Xã Đại Thắng,,200.0,3200.0,20.7196747,105.9577718
,,4.0,5.0,Sổ đỏ/ Sổ hồng,Đầy đủ,5.0,5.3,5,Hà Nội,Thanh Xuân,Phường Khương Mai,Đường Tô Vĩnh Diện,65.0,7300.0,21.0283334,105.854041
,,,,,,,23.0,,Hà Nội.,Hoài Đức,Xã An Thượng,Đường Đại lộ Thăng Long,299.0,30498.0,20.9599107,105.7387786
,Đông - Nam,2.0,2.0,Sổ hồng,"Bàn giao có: Cửa chính, cửa sổ, cửa logia, khóa từ 3 chức năng, đèn led, điều hòa Trane, thiết bị bếp (tủ bếp trên, tủ bếp dưới, bếp từ + hút mùi Fagor, chậu rửa + vòi rửa Sơn Hà, bình nước nóng).",,,,Hà Nội,Tây Hồ,Phường Phú Thượng,Đường Võ Chí Công,84.0,3500.0,21.0791733,105.815656
Đông,Nam,2.0,2.0,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ ,,,,Hà Nội,Tây Hồ,Phường Xuân La,,88.0,5050.0,21.0684199,105.8072107
,,,,,,6.0,,,Hà Nội,Thanh Xuân,Phường Khương Đình,Đường Bùi Xương Trạch,50.0,9500.0,20.9955213,105.8044695
,,,,,,,,,Hà Nội,Gia Lâm,Xã Đa Tốn,Đường Quốc Lộ 5B,150.0,9500.0,20.9853609,105.9316277
,,3.0,4.0,Sổ đỏ,"Nội thất xịn mịn, chất lượng, chuồng gỗ lim nạc, tủ bếp, cầu thang...",5.0,6.15,2,Hà Nội,Long Biên,Phường Ngọc Thụy,Đường Ngọc Thụy,30.0,3400.0,21.0438263,105.86562
,,,,Sổ đỏ/ Sổ hồng,,6.0,,,Hà Nội,Tây Hồ,Phường Phú Thượng,Đường Lạc Long Quân,260.0,109000.0,21.0791733,105.815656
Nam,Bắc,2.0,2.0,,,,,,Hà Nội,Cầu Giấy,Phường Dịch Vọng Hậu,Đường Xuân Thủy,68.8,3100.0,21.0388103,105.7818897
Đông - Bắc,Đông,5.0,5.0,Sổ đỏ/ Sổ hồng,,6.0,8.0,6,Hà Nội,Nam Từ Liêm,Thị trấn Cầu Diễn,Đường Hồ Tùng Mậu,50.0,8900.0,21.0283334,105.854041
Tây - Bắc,Đông - Nam,3.0,,Sổ đỏ/ Sổ hồng,Có nội thất,,,,Hà Nội,Long Biên,Phường Việt Hưng,Phố Sài Đồng,87.0,3300.0,21.0602793,105.8938304
,,3.0,2.0,Sổ đỏ/ Sổ hồng,,,,,Hà Nội,Thanh Xuân,Phường Phương Liệt,326 Đường Lê Trọng Tấn,126.0,5000.0,20.9851702,105.838694
,,6.0,,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,5.0,4.5,3.5,Hà Nội,Bắc Từ Liêm,Phường Cổ Nhuế 2,Đường Cổ Nhuế,55.0,6500.0,21.0608239,105.7781037
,,,,Sổ đỏ/ Sổ hồng,,,4.0,,Hà Nội,Thanh Xuân,Phường Khương Đình,,36.0,2500.0,20.9955213,105.8044695
Đông - Bắc,Tây - Nam,3.0,2.0,Sổ đỏ/ Sổ hồng,,,,,Hà Nội,Cầu Giấy,Phường Quan Hoa,110 Đường Cầu Giấy,76.0,3600.0,21.0341687,105.8006138
,,5.0,4.0,Có sổ đỏ,Cao cấp,5.0,4.2,2.5,Hà Nội,Đống Đa,Phường Láng Hạ,Đường Yên Lãng,55.0,6100.0,21.0166748,105.8104708
Đông - Nam,Tây - Nam,2.0,2.0,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,,,,Hà Nội,Hoàng Mai,,,77.0,3700.0,0.0,0.0
Tây - Bắc,Đông - Nam,3.0,2.0,Sổ đỏ/ Sổ hồng,,,,,Hà Nội,Thanh Xuân,Phường Nhân Chính,Phố Hoàng Đạo Thúy,81.0,3800.0,21.0045152,105.8012372
,,2.0,2.0,,"Nhà đã làm nội thất cơ bản như sàn gỗ, trần thạch cao, thiết bị vệ sinh, tủ bếp.",,,,Hà Nội,Thanh Trì,Xã Tứ Hiệp,Đường Trần Thủ Độ,66.0,1650.0,20.9446726,105.8555904
Tây - Bắc,Đông - Nam,2.0,2.0,Sổ đỏ/ Sổ hồng,Full nội thất.,,,,Hà Nội,Nam Từ Liêm,Phường Mỹ Đình 2,Đường Phạm Hùng,70.0,2600.0,21.0274134,105.7833341
,,6.0,7.0,Sổ đỏ chính chủ.,Nhà mới đẹp long lanh.,7.0,3.8,10,Hà Nội,Cầu Giấy,Phường Dịch Vọng Hậu,Phố Phạm Tuấn Tài,40.0,16900.0,21.0388103,105.7818897
,,4.0,3.0,Sổ đỏ chính chủ.,Nội thất đầy đủ.,4.0,4.0,,Hà Nội,Thanh Xuân,Phường Khương Đình,Đường Khương Đình,42.0,5200.0,20.9955213,105.8044695
Tây - Bắc,Đông - Nam,3.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,Hà Nội,Hà Đông,Phường Yết Kiêu,Đường Chu Văn An,112.0,3250.0,20.974619,105.779051
,,,,Sổ đỏ/ Sổ hồng,,,,,Hà Nội,Gia Lâm,Thị trấn Trâu Quỳ,Đường Cửu Việt 2,90.0,10800.0,21.0076419,105.9372958
,,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ.,,,,Hà Nội,Hoàng Mai,Phường Hoàng Liệt,Đường Trần Thủ Độ,68.0,2300.0,20.966384,105.8377568
,,8.0,12.0,Sổ đỏ/ Sổ hồng,Đầy đủ,10.0,6.8,7,Hà Nội,Ba Đình,Phường Liễu Giai,Đường Đội Cấn,100.0,39000.0,21.0337658,105.8130407
,,2.0,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,Hà Nội,Hoàng Mai,Phường Yên Sở,Đường Tam Trinh,74.0,2560.0,20.9649601,105.8734278
,,4.0,4.0,Sổ đỏ/ Sổ hồng,Cao cấp,5.0,10.0,8,Hà Nội,Ba Đình,Phường Ngọc Hà,Đường Hoàng Hoa Thám,50.0,11000.0,21.0386128,105.8279912
,,3.0,,,Tiêu chuẩn bàn giao.,,,,Hà Nội,Gia Lâm,Xã Đa Tốn,,115.2,6300.0,20.9853609,105.9316277
,,5.0,4.0,Sổ đỏ/ Sổ hồng,Đầy đủ,5.0,3.6,3,Hà Nội,Ba Đình,Phường Liễu Giai,Đường Phan Kế Bính,51.0,6550.0,21.0337658,105.8130407
,,5.0,6.0,Sổ đỏ/ Sổ hồng,Đầy đủ,3.0,15.0,6,Hà Nội.,Nam Từ Liêm,Phường Mỹ Đình 1,Đường Lê Đức Thọ,250.0,25000.0,21.0205027,105.7639271
,,,,Sổ đỏ/ Sổ hồng,Full nội thất cực đẹp.,,,,Hà Nội,Gia Lâm,Xã Dương Xá,,30.0,980.0,21.0028663,105.9658013
,,2.0,2.0,Sổ đỏ/ Sổ hồng,,,,,Hà Nội.,Nam Từ Liêm,Phường Mỹ Đình 1,Đường Phạm Hùng,77.0,4600.0,21.0205027,105.7639271
,,26.0,26.0,Sổ đỏ/ Sổ hồng,Đầy đủ,7.0,8.4,4,Hà Nội,Nam Từ Liêm,Phường Mễ Trì,đường Mễ Trì,108.2,16500.0,21.0100131,105.786309
,Đông - Nam,2.0,2.0,Sổ đỏ/ Sổ hồng,,,,,Hà Nội,Nam Từ Liêm,Phường Mỹ Đình 1,Đường Phạm Hùng,73.0,4200.0,21.0205027,105.7639271
Đông - Bắc,,,,Sổ đỏ/ Sổ hồng.,,,3.4,3,Hà Nội,Gia Lâm,Xã Đặng Xá,,47.0,2162.0,21.0171303,105.9478354
Bắc,Nam,2.0,2.0,,,,,,Hà Nội,Hoàng Mai,Phường Thịnh Liệt,Đường Thịnh Liệt,62.5,2050.0,20.9711485,105.8457779
,,4.0,3.0,Sổ đỏ/ Sổ hồng.,,,,,Hà Nội.,Nam Từ Liêm,Phường Mỹ Đình 1,Đường Phạm Hùng,155.0,12000.0,21.0205027,105.7639271
,,6.0,8.0,Sổ đỏ/ Sổ hồng,,5.0,7.0,15,Hà Nội,Thanh Xuân,Phường Thanh Xuân Nam,Đường Triều Khúc,145.0,25000.0,21.0380687,105.7466523
Tây - Bắc,Đông - Nam,1.0,1.0,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,,,,Hà Nội,Gia Lâm,Xã Dương Xá,Đường Đông Dư,41.2,1670.0,21.0028663,105.9658013
,,16.0,,Sổ đỏ,Cao cấp,7.0,,,Hà Nội,Đống Đa,Phường Phương Mai,Phố Phương Mai,85.0,24000.0,21.003356,105.8366179
,,11.0,,,,8.0,4.0,,Hà Nội,Đống Đa,Phường Phương Liên,Đường Đông Tác,57.0,6200.0,21.0099244,105.8375074
Đông - Bắc,Tây - Nam,1.0,1.0,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ.,,,,Hà Nội,Gia Lâm,Xã Dương Xá,Đường Đông Dư,43.0,1738.0,21.0028663,105.9658013
,,3.0,3.0,Sổ đỏ/ Sổ hồng,,,,,Hà Nội,Ba Đình,Phường Ngọc Khánh,Phố Liễu Giai,130.0,12000.0,21.0305405,105.806702
,,6.0,4.0,Sổ đỏ,,5.0,,,Hà Nội,Ba Đình,Phường Đội Cấn,Đường Đào Tấn,43.0,5750.0,21.0352974,105.8246773
Đông - Bắc,Tây - Nam,1.0,1.0,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,Hà Nội,Gia Lâm,Xã Dương Xá,Đường Đông Dư,48.0,1650.0,21.0028663,105.9658013
,,4.0,3.0,Sổ đỏ/ Sổ hồng,,4.0,,,Hà Nội,Ba Đình,Phường Giảng Võ,Đường Đào Tấn,51.0,4950.0,21.0306498,105.8250933
Đông - Bắc,Tây - Nam,1.0,1.0,Sổ đỏ/ Sổ hồng,Đầy đủ,,,,Hà Nội,Gia Lâm,Xã Dương Xá,Đường Đông Dư,46.0,1650.0,21.0028663,105.9658013
,,3.0,2.0,Sổ đỏ/ Sổ hồng,,,,,Hà Nội.,Nam Từ Liêm,Phường Mễ Trì,Đường Phạm Hùng,117.0,6084.0,21.0100131,105.786309
,,4.0,3.0,,"Đầy đủ nội thất, có ô chờ thang máy",4.0,5.5,,Hà Nội,Cầu Giấy,Phường Nghĩa Đô,Đường Lạc Long Quân,65.0,9700.0,21.0329958,105.7928552
Tây - Bắc,Đông - Nam,4.0,3.0,Hợp đồng mua bán,Nội thất chủ đầu tư.,,,,Hà Nội,Nam Từ Liêm,Phường Mễ Trì,Đường Phạm Hùng,135.0,6100.0,21.0100131,105.786309
,,4.0,3.0,Sổ đỏ/ Sổ hồng,,4.0,,,Hà Nội,Ba Đình,Phường Ngọc Khánh,Phố Ngọc Khánh,58.0,5750.0,21.0305405,105.806702
,,3.0,3.0,,,,,,Hà Nội,Nam Từ Liêm,Phường Mễ Trì,,130.0,2990.0,21.0100131,105.786309
Đông - Bắc,Tây - Nam,1.0,1.0,Sổ đỏ/ Sổ hồng,Đầy đủ.,,,,Hà Nội,Gia Lâm,Xã Dương Xá,Đường Đông Dư,45.0,1730.0,21.0028663,105.9658013
,,4.0,3.0,,,4.0,6.0,,Hà Nội,Thanh Xuân,Phường Nhân Chính,Phố Chính Kinh,40.0,4000.0,21.0045152,105.8012372
,,4.0,4.0,Sổ đỏ/ Sổ hồng,Đầu đủ,5.0,5.0,3.5,Hà Nội,Ba Đình,Phường Kim Mã,Phố Ngọc Khánh,60.0,5200.0,21.0306498,105.8250933
,,3.0,2.0,Sổ đỏ/ Sổ hồng,,,,,Hà Nội,Đông Anh,Xã Đông Hội,Đường 5,82.0,1800.0,21.0805036,105.8730278
Đông - Bắc,Tây - Nam,1.0,1.0,Sổ đỏ/ Sổ hồng,Đầy đủ.,,,,Hà Nội,Gia Lâm,Xã Dương Xá,Đường Đông Dư,50.0,1650.0,21.0028663,105.9658013
,,3.0,4.0,,,5.0,,,Hà Nội,Bắc Từ Liêm,Phường Đông Ngạc,đường Đông Ngạc,35.0,2790.0,21.0799477,105.7736253
,,5.0,4.0,Sổ đỏ/ Sổ hồng.,Full nội thất.,4.0,4.7,3,Hà Nội.,Nam Từ Liêm,Phường Mễ Trì,Đường Mễ Trì Hạ,75.0,4800.0,21.0100131,105.786309
,,4.0,3.0,Sổ đỏ/ Sổ hồng.,Full nội thất.,4.0,5.0,3,Hà Nội.,Nam Từ Liêm,Phường Mỹ Đình 1,Đường Đình Thôn,75.0,4800.0,21.0205027,105.7639271
Tây - Bắc,Đông - Nam,2.0,2.0,,,,,,Hà Nội,Thanh Xuân,Phường Thanh Xuân Trung,Đường Nguyễn Huy Tưởng,70.0,3500.0,20.9955213,105.8044695
Đông - Bắc,Đông - Bắc,4.0,3.0,Sổ đỏ/ Sổ hồng,,4.0,4.5,3,Hà Nội,Thanh Xuân,Phường Nhân Chính,Đường Nguyễn Trãi,56.0,5500.0,21.0045152,105.8012372
,,3.0,,Sổ đỏ/ Sổ hồng,Full nội thất,5.0,,3,Hà Nội,Hai Bà Trưng,Phường Đồng Tâm,Phố Trần Đại Nghĩa,35.0,3950.0,21.0032382,105.8432675
,,12.0,12.0,Sổ đỏ/ Sổ hồng.,,6.0,,,Hà Nội.,Nam Từ Liêm,Phường Mỹ Đình 1,Đường Đình Thôn,60.0,6000.0,21.0205027,105.7639271
,,3.0,3.0,Sổ đỏ/ Sổ hồng,Full nội thất,4.0,4.0,3,Hà Nội,Nam Từ Liêm,Phường Mỹ Đình 1,Đường Lê Quang Đạo,35.0,2800.0,21.0205027,105.7639271
,,,,Sổ đỏ/ Sổ hồng,,,,,Hà Nội,Cầu Giấy,Phường Nghĩa Đô,Đường Hoàng Quốc Việt,72.0,8500.0,21.0329958,105.7928552
Đông - Nam,,,,Sổ đỏ.,,,4.3,11,Hà Nội,Hoài Đức,Xã Vân Canh,,68.0,4964.0,21.0294802,105.7276153
Tây - Bắc,Đông - Nam,3.0,2.0,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ ,,,,Hà Nội.,Nam Từ Liêm,Phường Trung Văn,Đường Tố Hữu,95.0,3230.0,21.0315919,105.7529955
Tây - Bắc,Đông - Nam,2.0,2.0,,Nội thất đầy đủ.,,,,Hà Nội,Cầu Giấy,Phường Dịch Vọng Hậu,Đường Xuân Thủy,70.0,3080.0,21.0388103,105.7818897
,,15.0,15.0,Sổ đỏ/ Sổ hồng,Nội thất nhập khẩu,6.0,6.0,3,Hà Nội,Cầu Giấy,Phường Trung Hòa,Đường Nguyễn Chánh,80.0,16500.0,21.0373324,105.7910892
,,2.0,2.0,Sổ đỏ,,,,,Hà Nội,Hà Đông,Phường La Khê,,84.0,2352.0,21.0283334,105.854041
Tây - Bắc,Đông - Nam,2.0,2.0,Sổ đỏ/ Sổ hồng.,Đầy đủ.,,,,Hà Nội,Hoàng Mai,Phường Đại Kim,Đường Đại Từ,53.0,1590.0,20.9729657,105.8366725
Tây - Bắc,Đông - Nam,2.0,2.0,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ ,,,,Hà Nội,Hà Đông,Phường La Khê,,86.0,2322.0,21.0283334,105.854041
Đông - Nam,Tây - Bắc,2.0,2.0,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ ,,,,Hà Nội,Hà Đông,Phường Dương Nội,,74.4,2157.6000000000004,20.9624811,105.743952
Tây - Bắc,Đông - Nam,2.0,2.0,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ ,,,,Hà Nội,Hà Đông,Phường Phú La,Đường Lê Trọng Tấn,84.0,3024.0,20.9599107,105.7387786
,,,,"Sổ đỏ, sổ hồng",,,5.5,6,Hà Nội,Nam Từ Liêm,Phường Phương Canh,,69.5,4250.0,21.032865,105.7416196
Đông - Bắc,,,,Sổ đỏ/ Sổ hồng,,,4.0,2,Hà Nội,Long Biên,Phường Việt Hưng,Phố Lệ Mật,42.3,2750.0,21.0602793,105.8938304
